label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a1.5_c5_b0.2,1b,1.5,5,0.2,True,True,53.1,461882,453238,461882,493939,461882,453238,461882,466564.6,1409060,21.9037,25292,20817,8746,13418,42981,True,True,True,True,True,True,True,7038,5624.0,5605.199999999953,16780,4116,1.0212387951223452,21.9037
1b_a2.0_c3_b0.4,1b,2.0,3,0.4,True,True,56.4,463422,453230,463422,493477,463422,453230,463422,467394.6,1410129,22.4637,25592,20355,10286,13409,44050,True,True,True,True,True,True,True,7030,7164.0,6435.199999999953,17849,3654,1.0333521763708309,22.4637
1b_a2.5_c3_b0.4,1b,2.5,3,0.4,True,True,55.3,462846,453230,462846,493539,462846,453230,462846,467061.4,1409615,22.3185,25592,20417,9710,13409,43536,True,True,True,True,True,True,True,7030,6588.0,6102.0,17335,3716,1.0333521763708309,22.3185
1b_a1.0_c3_b0.4,1b,1.0,3,0.4,True,True,63.5,461854,453230,461854,494166,461854,453230,461854,466591.6,1409249,21.7675,25592,21044,8717,13409,43170,True,True,True,True,True,True,True,7030,5596.0,5632.199999999953,16969,4343,1.0333521763708309,21.7675
1b_a1.5_c3_b0.4,1b,1.5,3,0.4,True,True,60.2,461754,453230,461754,494172,461754,453230,461754,466532.8,1409155,21.7441,25592,21050,8617,13409,43076,True,True,True,True,True,True,True,7030,5496.0,5573.399999999965,16875,4349,1.0333521763708309,21.7441
1b_a1.5_c3_b0.6,1b,1.5,3,0.6,True,True,61.8,462921,453054,462921,493040,462921,453054,462921,466971.4,1409016,22.5478,25592,19918,9784,13234,42936,True,True,True,True,True,True,True,6854,6663.0,6012.0,16735,3217,1.0333521763708309,22.5478
1b_a2.0_c3_b0.6,1b,2.0,3,0.6,True,True,51.3,463209,452854,463209,492474,463209,452854,463209,466991.0,1408538,22.8494,25592,19352,10072,13034,42458,True,True,True,True,True,True,True,6654,6951.0,6031.599999999977,16257,2651,1.0333521763708309,22.8494
1b_a2.5_c3_b0.6,1b,2.5,3,0.6,True,True,48.9,462740,452852,462740,493114,462740,452852,462740,466837.2,1408705,22.3796,25592,19992,9603,13031,42626,True,True,True,True,True,True,True,6652,6482.0,5877.799999999988,16425,3291,1.0333521763708309,22.3796
1c_c10_b0.6,1c,0.0,10,0.6,False,True,54.8,461788,456700,461788,494594,461788,456700,461788,467331.6,1413083,22.9021,25592,21472,8652,16880,47004,True,True,True,True,True,True,True,10500,5530.0,6372.199999999953,20803,4771,1.0333521763708309,22.9021
1c_c10_b0.1,1c,0.0,10,0.1,False,True,54.2,461444,456492,461444,494144,461444,456492,461444,466993.6,1412079,23.006,24988,21022,8307,16671,46000,True,True,True,True,True,True,True,10292,5186.0,6034.199999999953,19799,4321,1.0089639021238794,23.006
1c_c5_b0.6,1c,0.0,5,0.6,False,True,50.8,461446,456438,461446,495025,461446,456438,461446,467160.2,1412908,22.4455,25192,21903,8309,16617,46829,True,True,True,True,True,True,True,10238,5188.0,6200.799999999988,20628,5188,1.0172010013728499,22.4455
1c_c7_b0.6,1c,0.0,7,0.6,False,True,54.0,461446,456214,461446,495025,461446,456214,461446,467115.4,1412685,22.3594,25088,21903,8309,16394,46606,True,True,True,True,True,True,True,10014,5188.0,6156.0,20405,5188,1.0130016958733747,22.3594
1c_c3_b0.2,1c,0.0,3,0.2,False,True,41.5,460924,456210,460924,494184,460924,456210,460924,466633.2,1411318,22.7285,24794,21062,7788,16389,45239,True,True,True,True,True,True,True,10010,4666.0,5673.799999999988,19038,4361,1.0011305822498586,22.7285
1c_c7_b0.4,1c,0.0,7,0.4,False,True,49.3,461446,456128,461446,494182,461446,456128,461446,466929.6,1411755,22.8352,24892,21060,8309,16307,45676,True,True,True,True,True,True,True,9928,5188.0,5970.199999999953,19475,4359,1.0050876201243641,22.8352
1c_c7_b0.1,1c,0.0,7,0.1,False,True,50.8,461114,456110,461114,494064,461114,456110,461114,466703.2,1411288,22.8135,24698,20942,7978,16289,45209,True,True,True,True,True,True,True,9910,4856.0,5743.799999999988,19008,4241,0.9972543002503432,22.8135
1c_c7_b0.2,1c,0.0,7,0.2,False,True,42.9,461114,456110,461114,494064,461114,456110,461114,466703.2,1411288,22.8135,24698,20942,7978,16289,45209,True,True,True,True,True,True,True,9910,4856.0,5743.799999999988,19008,4241,0.9972543002503432,22.8135
1c_c10_b0.4,1c,0.0,10,0.4,False,True,44.7,461638,456010,461638,494243,461638,456010,461638,467033.4,1411890,22.7995,25182,21121,8501,16189,45811,True,True,True,True,True,True,True,9810,5380.0,6074.0,19610,4420,1.0167972219979005,22.7995
1c_c3_b0.1,1c,0.0,3,0.1,False,True,44.2,460924,456010,460924,494016,460924,456010,460924,466559.6,1410950,22.7527,24794,20894,7788,16189,44871,True,True,True,True,True,True,True,9810,4666.0,5600.199999999953,18670,4193,1.0011305822498586,22.7527
1c_c10_b0.2,1c,0.0,10,0.2,False,True,43.5,461444,455910,461444,494132,461444,455910,461444,466874.8,1411485,22.7772,24988,21010,8307,16089,45406,True,True,True,True,True,True,True,9710,5186.0,5915.399999999965,19205,4309,1.0089639021238794,22.7772
1c_c5_b0.4,1c,0.0,5,0.4,False,True,50.9,461446,455874,461446,494350,461446,455874,461446,466912.4,1411670,22.6305,24892,21228,8309,16054,45591,True,True,True,True,True,True,True,9674,5188.0,5953.0,19390,4527,1.0050876201243641,22.6305
1c_c5_b0.1,1c,0.0,5,0.1,False,True,50.0,461268,455774,461268,494016,461268,455774,461268,466718.8,1411058,22.7484,24892,20894,8131,15954,44979,True,True,True,True,True,True,True,9574,5010.0,5759.399999999965,18778,4193,1.0050876201243641,22.7484
1c_c5_b0.2,1c,0.0,5,0.2,False,True,45.5,460922,455774,460922,494016,460922,455774,460922,466511.2,1410713,22.6589,24892,20894,7786,15954,44634,True,True,True,True,True,True,True,9574,4664.0,5551.799999999988,18433,4193,1.0050876201243641,22.6589
1c_c3_b0.4,1c,0.0,3,0.4,False,True,50.2,461194,455670,461194,493825,461194,455670,461194,466615.4,1410689,22.8045,25182,20703,8058,15849,44610,True,True,True,True,True,True,True,9470,4936.0,5656.0,18409,4002,1.0167972219979005,22.8045
1c_c3_b0.6,1c,0.0,3,0.6,False,True,50.2,462222,453888,462222,493945,462222,453888,462222,466899.8,1410055,22.2378,25192,20823,9086,14067,43976,True,True,True,True,True,True,True,7688,5964.0,5940.399999999965,17775,4122,1.0172010013728499,22.2378
1d_a2.5_b0.2,1d,2.5,0.0,0.2,True,False,46.1,462115,438344,462115,474595,462115,438344,462115,459856.8,1375054,24.8881,25194,1473,8978,-1477,8974,False,True,False,False,True,False,False,-7856,5857.0,-1102.600000000035,-17227,-15228,1.0172817572478399,24.8881
